origin,destination,volume,,Origin(total),Volume(total),,x,y
06001,53057,36,,,,,,
06001,53061,90,,,,,,
06001,53063,141,,,,,,
06001,53067,214,,,,,,
06001,53071,63,,,,,,
06001,53073,74,,,,,,
06001,53075,34,,,,,,
06001,54033,7,,,,,,
06001,54067,23,,,,,,
06001,55009,34,,,,,,
06001,55025,176,,,,,,
06001,55029,23,,,,,,
06001,55051,1,,,,,,
06001,55063,7,,,,,,
06001,55079,95,,,,,,
06001,55087,15,,,,,,
06001,55105,9,,,,,,
06001,55115,2,,,,,,
06001,55133,8,,,,,,
06001,56001,64,,,,,,
06001,56003,27,,,,,,
06001,56021,37,,,,,,
06001,56023,78,,,,,,
06001,56039,11,,,,,,
06001,72063,14,,,,,,
06001,72127,80,,,,,,
06003,06005,4,,,,,,
06003,06009,3,,,,,,
06003,06021,4,,,,,,
06003,06023,4,,,,,,
06003,06041,2,,,,,,
06003,06053,4,,,,,,
06003,06073,35,,,,,,
06003,06085,29,,,,,,
06003,32005,77,,,,,,
06003,32510,6,,,,,,
06003,36047,4,,,,,,
06005,04001,8,,,,,,
06005,04013,5,,,,,,
06005,04021,37,,,,,,
06005,05047,2,,,,,,
06005,05143,5,,,,,,
06005,06001,97,,,,,,
06005,06003,4,,,,,,
06005,06009,469,,,,,,
06005,06011,54,,,,,,
06005,06013,218,,,,,,
06005,06015,22,,,,,,
06005,06017,273,,,,,,
06005,06019,132,,,,,,
06005,06021,6,,,,,,
06005,06023,167,,,,,,
06005,06025,36,,,,,,
06005,06029,165,,,,,,
06005,06031,142,,,,,,
06005,06033,8,,,,,,
06005,06035,131,,,,,,
06005,06037,230,,,,,,
06005,06039,46,,,,,,
06005,06041,30,,,,,,
06005,06047,16,,,,,,
06005,06049,3,,,,,,
06005,06053,104,,,,,,
06005,06057,102,,,,,,
06005,06059,9,,,,,,
06005,06061,66,,,,,,
06005,06065,124,,,,,,
06005,06067,426,,,,,,
06005,06069,9,,,,,,
06005,06071,99,,,,,,
06005,06073,142,,,,,,
06005,06077,601,,,,,,
06005,06079,118,,,,,,
06005,06081,70,,,,,,
06005,06083,7,,,,,,
06005,06085,59,,,,,,
06005,06087,23,,,,,,
06005,06089,5,,,,,,
06005,06093,8,,,,,,
06005,06095,46,,,,,,
06005,06097,123,,,,,,
06005,06099,34,,,,,,
06005,06101,67,,,,,,
06005,06107,15,,,,,,
06005,06109,53,,,,,,
06005,06111,77,,,,,,
06005,06113,35,,,,,,
06005,08005,7,,,,,,
06005,08019,62,,,,,,
06005,08041,18,,,,,,
06005,16001,27,,,,,,
06005,16027,67,,,,,,
06005,19125,10,,,,,,
06005,21083,26,,,,,,
06005,21085,9,,,,,,
06005,22017,1,,,,,,
06005,27053,46,,,,,,
06005,32005,3,,,,,,
06005,32027,9,,,,,,
06005,32031,31,,,,,,
06005,32510,39,,,,,,
06005,36061,26,,,,,,
06005,37081,17,,,,,,
06005,37119,9,,,,,,
06005,37189,15,,,,,,
06005,40109,6,,,,,,
06005,40133,3,,,,,,
06005,41019,26,,,,,,
06005,41029,8,,,,,,
06005,41039,12,,,,,,
06005,42003,38,,,,,,
06005,45035,15,,,,,,
06005,45079,52,,,,,,
06005,47055,7,,,,,,
06005,47113,9,,,,,,
06005,47157,5,,,,,,
06005,47183,8,,,,,,
06005,48113,16,,,,,,
06005,48213,276,,,,,,
06005,48423,83,,,,,,
06005,48459,8,,,,,,
06005,49011,36,,,,,,
06005,49035,4,,,,,,
06005,49053,21,,,,,,
06005,51159,11,,,,,,
06005,51710,79,,,,,,
06005,51800,4,,,,,,
06005,53011,3,,,,,,
06005,53027,16,,,,,,
06005,53033,31,,,,,,
06005,53035,83,,,,,,
06005,53053,4,,,,,,
06005,53063,35,,,,,,
06005,53067,15,,,,,,
06007,01003,29,,,,,,
06007,01127,9,,,,,,
06007,02020,40,,,,,,
06007,02150,27,,,,,,
06007,04003,20,,,,,,
06007,04005,37,,,,,,
06007,04013,532,,,,,,
06007,04015,21,,,,,,
06007,04019,77,,,,,,
06007,04027,3,,,,,,
06007,05109,8,,,,,,
06007,06001,"1,563",,,,,,
06007,06009,124,,,,,,
06007,06011,92,,,,,,
06007,06013,"2,324",,,,,,
06007,06015,96,,,,,,
06007,06017,391,,,,,,
06007,06019,366,,,,,,
06007,06021,553,,,,,,
06007,06023,502,,,,,,
06007,06025,46,,,,,,
06007,06029,117,,,,,,
06007,06031,5,,,,,,
06007,06033,64,,,,,,
06007,06035,116,,,,,,
06007,06037,981,,,,,,
06007,06039,46,,,,,,
06007,06041,80,,,,,,
06007,06043,1,,,,,,
06007,06045,102,,,,,,
06007,06047,133,,,,,,
06007,06049,48,,,,,,
06007,06053,148,,,,,,
06007,06055,61,,,,,,
06007,06057,236,,,,,,
06007,06059,357,,,,,,
06007,06061,"1,051",,,,,,
06007,06063,236,,,,,,
06007,06065,418,,,,,,
06007,06067,"2,177",,,,,,
06007,06069,102,,,,,,
06007,06071,478,,,,,,
06007,06073,784,,,,,,
06007,06075,350,,,,,,
06007,06077,429,,,,,,
06007,06079,514,,,,,,
06007,06081,298,,,,,,
06007,06083,230,,,,,,
